Task: Predict radius of tumor given 8 features. We focus only on Malignant tumors.

nn test mse: 2.54543
cvx fit test mse: 1.511938

========================================================nn log =========================================
np seed:  2438
tf seed:  1480
Data snippit...
842302,M,17.99,10.38,122.8,1001,0.1184,0.2776,0.3001,0.1471,0.2419,0.07871,1.095,0.9053,8.589,153.4,0.006399,0.04904,0.05373,0.01587,0.03003,0.006193,25.38,17.33,184.6,2019,0.1622,0.6656,0.7119,0.2654,0.4601,0.1189    842517,M,20.57,17.77,132.9,1326,0.08474,0.0786...
Name: 0, dtype: object
Num rows:  568
WARNING:tensorflow:From /mnt/c/Users/sidda/Documents/Programming/tf_env/lib/python3.5/site-packages/tensorflow/python/util/tf_should_use.py:118: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
2018-08-05 12:36:51.975435: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Iter: 0 Cost: 394.20062255859375
Iter: 100 Cost: 18.216773986816406
Iter: 200 Cost: 3.201097011566162
Iter: 300 Cost: 2.880624532699585
Iter: 400 Cost: 1.8794984817504883
Iter: 500 Cost: 1.9406524896621704
Iter: 600 Cost: 0.9185103178024292
Iter: 700 Cost: 1.1574839353561401
Iter: 800 Cost: 2.2474582195281982
Iter: 900 Cost: 1.6222352981567383
Iter: 1000 Cost: 1.389528751373291
Iter: 1100 Cost: 1.5648962259292603
Iter: 1200 Cost: 1.0510531663894653
Iter: 1300 Cost: 0.8699014186859131
Iter: 1400 Cost: 0.8571363687515259
Iter: 1500 Cost: 0.28060391545295715
Iter: 1600 Cost: 0.6040934324264526
Iter: 1700 Cost: 0.8682733774185181
Iter: 1800 Cost: 0.6929444074630737
Iter: 1900 Cost: 0.44342657923698425
Iter: 2000 Cost: 0.2648281753063202
Iter: 2100 Cost: 0.875748872756958
Iter: 2200 Cost: 1.0775809288024902
Iter: 2300 Cost: 1.2331095933914185
Iter: 2400 Cost: 0.23506620526313782
Iter: 2500 Cost: 0.3925582468509674
Iter: 2600 Cost: 0.5457688570022583
Iter: 2700 Cost: 0.3907849192619324
Iter: 2800 Cost: 0.3686353862285614
Iter: 2900 Cost: 0.19477981328964233
Iter: 3000 Cost: 0.42764294147491455
Iter: 3100 Cost: 0.48670560121536255
Iter: 3200 Cost: 0.4843314290046692
Iter: 3300 Cost: 0.2197718620300293
Iter: 3400 Cost: 0.394605815410614
Iter: 3500 Cost: 0.48147183656692505
Iter: 3600 Cost: 0.5404416918754578
Iter: 3700 Cost: 0.25234168767929077
Iter: 3800 Cost: 0.15126419067382812
Iter: 3900 Cost: 0.11703455448150635
Iter: 4000 Cost: 0.12898436188697815
Iter: 4100 Cost: 0.4498700499534607
Iter: 4200 Cost: 0.22560369968414307
Iter: 4300 Cost: 0.15468363463878632
Iter: 4400 Cost: 0.320828378200531
Iter: 4500 Cost: 0.2650024890899658
Iter: 4600 Cost: 0.15148332715034485
Iter: 4700 Cost: 0.10205078125
Iter: 4800 Cost: 0.20652255415916443
Iter: 4900 Cost: 0.19103381037712097
Iter: 5000 Cost: 0.1363229602575302
Iter: 5100 Cost: 0.1276722252368927
Iter: 5200 Cost: 0.237621009349823
Iter: 5300 Cost: 0.19977471232414246
Iter: 5400 Cost: 0.15280789136886597
Iter: 5500 Cost: 0.17156805098056793
Iter: 5600 Cost: 0.28293895721435547
Iter: 5700 Cost: 0.17202870547771454
Iter: 5800 Cost: 0.24942941963672638
Iter: 5900 Cost: 0.22350576519966125
Iter: 6000 Cost: 0.16783669590950012
Iter: 6100 Cost: 0.10604231059551239
Iter: 6200 Cost: 0.0981430932879448
Iter: 6300 Cost: 0.09788186103105545
Iter: 6400 Cost: 0.15760447084903717
Iter: 6500 Cost: 0.06654778122901917
Iter: 6600 Cost: 0.07759661972522736
Iter: 6700 Cost: 0.13474348187446594
Iter: 6800 Cost: 0.08569426834583282
Iter: 6900 Cost: 0.08816385269165039
Iter: 7000 Cost: 0.1445242017507553
Iter: 7100 Cost: 0.13870775699615479
Iter: 7200 Cost: 0.11062848567962646
Iter: 7300 Cost: 0.15175792574882507
Iter: 7400 Cost: 0.11101805418729782
Iter: 7500 Cost: 0.04604657366871834
Iter: 7600 Cost: 0.06411583721637726
Iter: 7700 Cost: 0.14892083406448364
Iter: 7800 Cost: 0.09151634573936462
Iter: 7900 Cost: 0.06867287307977676
Iter: 8000 Cost: 0.1021866500377655
Iter: 8100 Cost: 0.14268162846565247
Iter: 8200 Cost: 0.06466290354728699
Iter: 8300 Cost: 0.06213841214776039
Iter: 8400 Cost: 0.0908127874135971
Iter: 8500 Cost: 0.07567726820707321
Iter: 8600 Cost: 0.04982370138168335
Iter: 8700 Cost: 0.07454784214496613
Iter: 8800 Cost: 0.06460119038820267
Iter: 8900 Cost: 0.05483834818005562
Iter: 9000 Cost: 0.06956636905670166
Iter: 9100 Cost: 0.07207957655191422
Iter: 9200 Cost: 0.05135233700275421
Iter: 9300 Cost: 0.11269954591989517
Iter: 9400 Cost: 0.04904239624738693
Iter: 9500 Cost: 0.10800305008888245
Iter: 9600 Cost: 0.046989135444164276
Iter: 9700 Cost: 0.03672659769654274
Iter: 9800 Cost: 0.07028117775917053
Iter: 9900 Cost: 0.054172612726688385
Iter: 10000 Cost: 0.046383973211050034
Iter: 10100 Cost: 0.029827434569597244
Iter: 10200 Cost: 0.06856421381235123
Iter: 10300 Cost: 0.06571467220783234
Iter: 10400 Cost: 0.04216786473989487
Iter: 10500 Cost: 0.06295916438102722
Iter: 10600 Cost: 0.0420658253133297
Iter: 10700 Cost: 0.05783156678080559
Iter: 10800 Cost: 0.09210371226072311
Iter: 10900 Cost: 0.043116968125104904
